anio,provincia,coef_coparticipacion,pbi_provincial,recaudacion_total_prov,recaudacion_iva_prov,recaudacion_ganancias_prov,presion_tributaria,tasa_empleo_formal,tasa_informalidad
2020,Buenos Aires,0.213,133037.9439505846,1620405.6274391043,341661.26094347844,277483.23866328836,12.18,19.4,8.524999999999999
2020,Catamarca,0.026,16239.373439977462,197795.99208176858,41705.130443804876,33871.193451856794,12.18,19.4,8.524999999999999
2020,Chaco,0.084,52465.66803685027,639033.2051872525,134739.65220306194,109430.0096136912,12.18,19.4,8.524999999999999
2020,Chubut,0.036,22485.286301507254,273871.3736516796,57745.56522988367,46898.575548724795,12.18,19.4,8.524999999999999
2020,Corrientes,0.018,11242.643150753627,136935.6868258398,28872.782614941836,23449.287774362398,12.18,19.4,8.524999999999999
2020,Córdoba,0.047,29355.79044919003,357554.2933785817,75390.04349457036,61228.6958552796,12.18,19.4,8.524999999999999
2020,Entre Ríos,0.047,29355.79044919003,357554.2933785817,75390.04349457036,61228.6958552796,12.18,19.4,8.524999999999999
2020,Formosa,0.034,21236.1037292013,258656.2973376974,54537.47827266792,44293.0991293512,12.18,19.4,8.524999999999999
2020,Jujuy,0.028,17488.55601228342,213011.0683957508,44913.217401020636,36476.6698712304,12.18,19.4,8.524999999999999
2020,La Pampa,0.019,11867.234436906607,144543.2249828309,30476.82609354972,24752.025984049196,12.18,19.4,8.524999999999999
2020,La Rioja,0.02,12491.825723059588,152150.763139822,32080.8695721576,26054.764193736,12.18,19.4,8.524999999999999
2020,Mendoza,0.041,25608.242732272156,311909.0644366351,65765.78262292309,53412.2665971588,12.18,19.4,8.524999999999999
2020,Misiones,0.033,20611.51244304832,251048.7591807063,52933.43479406004,42990.360919664396,12.18,19.4,8.524999999999999
2020,Neuquén,0.018,11242.643150753627,136935.6868258398,28872.782614941836,23449.287774362398,12.18,19.4,8.524999999999999
2020,Río Negro,0.025,15614.782153824484,190188.4539247775,40101.086965197,32568.45524217,12.18,19.4,8.524999999999999
2020,Salta,0.038,23734.468873813214,289086.4499656618,60953.65218709944,49504.05196809839,12.18,19.4,8.524999999999999
2020,San Juan,0.032,19986.92115689534,243441.22102371522,51329.39131545216,41687.6227099776,12.18,19.4,8.524999999999999
2020,San Luis,0.022,13741.008295365546,167365.8394538042,35288.956529373354,28660.240613109596,12.18,19.4,8.524999999999999
2020,Santa Cruz,0.017,10618.05186460065,129328.1486688487,27268.73913633396,22146.5495646756,12.18,19.4,8.524999999999999
2020,Santa Fe,0.087,54339.4418953092,661855.8196582256,139551.78263888555,113338.22424275159,12.18,19.4,8.524999999999999
2020,Santiago del Estero,0.039,24359.060159966193,296693.9881226529,62557.69566570732,50806.790177785195,12.18,19.4,8.524999999999999
2020,Total (provincias),1.0,624591.2861529794,7607538.1569911,1604043.47860788,1302738.2096868,12.18,19.4,8.524999999999999
2020,Tucumán,0.046,28731.19916303705,349946.7552215906,73786.00001596248,59925.957645592796,12.18,19.4,8.524999999999999
2021,Buenos Aires,0.213,146929.51594921114,842433.4933708726,206874.86789360025,123721.20852059808,5.7336,20.675,10.0
2021,Catamarca,0.026,17935.058284880233,102832.25740677318,25252.331292176557,15102.11934993216,5.7336,20.675,10.0
2021,Chaco,0.084,57944.03445884383,332227.2931603441,81584.45494395505,48791.46251516545,5.7336,20.675,10.0
2021,Chubut,0.036,24833.15762521878,142383.12564014748,34964.76640455215,20910.62679221376,5.7336,20.675,10.0
2021,Corrientes,0.018,12416.57881260939,71191.56282007374,17482.383202276076,10455.31339610688,5.7336,20.675,10.0
2021,Córdoba,0.047,32421.06689959119,185889.08069685922,45648.44502816532,27299.98497872352,5.7336,20.675,10.0
2021,Entre Ríos,0.047,32421.06689959119,185889.08069685922,45648.44502816532,27299.98497872352,5.7336,20.675,10.0
2021,Formosa,0.034,23453.537757151076,134472.95199347264,33022.27938207704,19748.92530375744,5.7336,20.675,10.0
2021,Jujuy,0.028,19314.678152947945,110742.43105344805,27194.81831465168,16263.820838388481,5.7336,20.675,10.0
2021,La Pampa,0.019,13106.388746643246,75146.64964341118,18453.62671351364,11036.16414033504,5.7336,20.675,10.0
2021,La Rioja,0.02,13796.198680677102,79101.73646674861,19424.8702247512,11617.014884563201,5.7336,20.675,10.0
2021,Mendoza,0.041,28282.20729538806,162158.55975683464,39820.98396073996,23814.88051335456,5.7336,20.675,10.0
2021,Misiones,0.033,22763.72782311722,130517.8651701352,32051.03587083948,19168.074559529283,5.7336,20.675,10.0
2021,Neuquén,0.018,12416.57881260939,71191.56282007374,17482.383202276076,10455.31339610688,5.7336,20.675,10.0
2021,Río Negro,0.025,17245.248350846377,98877.17058343576,24281.087780939,14521.268605704001,5.7336,20.675,10.0
2021,Salta,0.038,26212.777493286492,150293.29928682235,36907.25342702728,22072.32828067008,5.7336,20.675,10.0
2021,San Juan,0.032,22073.917889083365,126562.77834679777,31079.79235960192,18587.22381530112,5.7336,20.675,10.0
2021,San Luis,0.022,15175.818548744812,87011.91011342345,21367.35724722632,12778.716373019519,5.7336,20.675,10.0
2021,Santa Cruz,0.017,11726.768878575538,67236.47599673632,16511.13969103852,9874.46265187872,5.7336,20.675,10.0
2021,Santa Fe,0.087,60013.46426094539,344092.5536303564,84498.1854776677,50534.01474784992,5.7336,20.675,10.0
2021,Santiago del Estero,0.039,26902.587427320348,154248.38611015977,37878.49693826484,22653.17902489824,5.7336,20.675,10.0
2021,Total (provincias),1.0,689809.9340338551,3955086.82333743,971243.51123756,580850.74422816,5.7336,20.675,10.0
2021,Tucumán,0.046,31731.256965557335,181933.99387352177,44677.20151692776,26719.13423449536,5.7336,20.675,10.0
2023,Buenos Aires,0.213,152884.89992402625,19106633.689121015,5138225.060634237,3094655.675838409,124.974,21.375,12.2
2023,Catamarca,0.026,18662.00656349616,2332265.1451509222,627201.1811102824,377751.39705069776,124.974,21.375,12.2
2023,Chaco,0.084,60292.63658975683,7535010.4689491335,2026342.2774332203,1220427.5904714852,124.974,21.375,12.2
2023,Chubut,0.036,25839.701395610067,3229290.2009781995,868432.4046142371,523040.39591635077,124.974,21.375,12.2
2023,Corrientes,0.018,12919.850697805034,1614645.1004890997,434216.20230711857,261520.19795817538,124.974,21.375,12.2
2023,Córdoba,0.047,33735.16571093537,4216017.762388205,1133786.7504685875,682858.2946685691,124.974,21.375,12.2
2023,Entre Ríos,0.047,33735.16571093537,4216017.762388205,1133786.7504685875,682858.2946685691,124.974,21.375,12.2
2023,Formosa,0.034,24404.16242918729,3049885.1898127445,820186.1599134463,493982.5961432202,124.974,21.375,12.2
2023,Jujuy,0.028,20097.54552991894,2511670.1563163777,675447.4258110734,406809.1968238284,124.974,21.375,12.2
2023,La Pampa,0.019,13637.620181016424,1704347.6060718277,458339.32465751405,276049.09784474067,124.974,21.375,12.2
2023,La Rioja,0.02,14355.389664227816,1794050.1116545554,482462.4470079096,290577.997731306,124.974,21.375,12.2
2023,Mendoza,0.041,29428.548811667024,3677802.728891839,989048.0163662146,595684.8953491773,124.974,21.375,12.2
2023,Misiones,0.033,23686.3929459759,2960182.6842300165,796063.0375630509,479453.6962566549,124.974,21.375,12.2
2023,Neuquén,0.018,12919.850697805034,1614645.1004890997,434216.20230711857,261520.19795817538,124.974,21.375,12.2
2023,Río Negro,0.025,17944.23708028477,2242562.6395681943,603078.058759887,363222.49716413254,124.974,21.375,12.2
2023,Salta,0.038,27275.240362032848,3408695.2121436554,916678.6493150281,552098.1956894813,124.974,21.375,12.2
2023,San Juan,0.032,22968.623462764506,2870480.178647289,771939.9152126553,464924.7963700896,124.974,21.375,12.2
2023,San Luis,0.022,15790.928630650596,1973455.1228200109,530708.6917087005,319635.7975044366,124.974,21.375,12.2
2023,Santa Cruz,0.017,12202.081214593645,1524942.5949063723,410093.07995672314,246991.2980716101,124.974,21.375,12.2
2023,Santa Fe,0.087,62445.945039390994,7804117.985697316,2098711.6444844063,1264014.290131181,124.974,21.375,12.2
2023,Santiago del Estero,0.039,27993.00984524424,3498397.7177263834,940801.7716654236,566627.0955760467,124.974,21.375,12.2
2023,Total (provincias),1.0,717769.4832113908,89702505.58272777,24123122.35039548,14528899.8865653,124.974,21.375,12.2
2023,Tucumán,0.046,33017.39622772398,4126315.2568054777,1109663.628118192,668329.3947820038,124.974,21.375,12.2
2024,Buenos Aires,0.213,150831.76162900263,65812983.0695396,16790608.34276502,10193373.476433579,436.3337,21.05,11.95
2024,Catamarca,0.026,18411.38874344633,8033509.6704602325,2049557.82587742,1244261.5511139578,436.3337,21.05,11.95
2024,Chaco,0.084,59482.94824805738,25954415.858409986,6621648.36052705,4019921.934368172,436.3337,21.05,11.95
2024,Chubut,0.036,25492.6921063103,11123321.082175706,2837849.297368735,1722823.6861577877,436.3337,21.05,11.95
2024,Corrientes,0.018,12746.34605315515,5561660.541087853,1418924.6486843675,861411.8430788938,436.3337,21.05,11.95
2024,Córdoba,0.047,33282.12580546067,14522113.635062728,3704969.916009182,2249242.0347060007,436.3337,21.05,11.95
2024,Entre Ríos,0.047,33282.12580546067,14522113.635062728,3704969.916009182,2249242.0347060007,436.3337,21.05,11.95
2024,Formosa,0.034,24076.43143373751,10505358.799832612,2680191.0030704723,1627111.259149022,436.3337,21.05,11.95
2024,Jujuy,0.028,19827.649416019125,8651471.952803329,2207216.120175683,1339973.978122724,436.3337,21.05,11.95
2024,La Pampa,0.019,13454.476389441548,5870641.6822594,1497753.7958334992,909268.056583277,436.3337,21.05,11.95
2024,La Rioja,0.02,14162.606725727946,6179622.823430948,1576582.9429826308,957124.2700876599,436.3337,21.05,11.95
2024,Mendoza,0.041,29033.34378774229,12668226.788033444,3231995.0331143932,1962104.753679703,436.3337,21.05,11.95
2024,Misiones,0.033,23368.301097451113,10196377.658661066,2601361.8559213406,1579255.045644639,436.3337,21.05,11.95
2024,Neuquén,0.018,12746.34605315515,5561660.541087853,1418924.6486843675,861411.8430788938,436.3337,21.05,11.95
2024,Río Negro,0.025,17703.258407159934,7724528.529288686,1970728.6787282885,1196405.337609575,436.3337,21.05,11.95
2024,Salta,0.038,26908.952778883096,11741283.3645188,2995507.5916669983,1818536.113166554,436.3337,21.05,11.95
2024,San Juan,0.032,22660.170761164714,9887396.517489517,2522532.708772209,1531398.832140256,436.3337,21.05,11.95
2024,San Luis,0.022,15578.86739830074,6797585.105774043,1734241.2372808936,1052836.6970964258,436.3337,21.05,11.95
2024,Santa Cruz,0.017,12038.215716868755,5252679.399916306,1340095.5015352361,813555.629574511,436.3337,21.05,11.95
2024,Santa Fe,0.087,61607.33925691656,26881359.281924624,6858135.801974443,4163490.5748813204,436.3337,21.05,11.95
2024,Santiago del Estero,0.039,27617.083115169495,12050264.50569035,3074336.73881613,1866392.326670937,436.3337,21.05,11.95
2024,Total (provincias),1.0,708130.3362863973,308981141.1715474,78829147.14913154,47856213.504383,436.3337,21.05,11.95
2024,Tucumán,0.046,32573.995469174275,14213132.493891181,3626140.7688600505,2201385.821201618,436.3337,21.05,11.95
2025,Buenos Aires,0.213,,89774090.67477167,23758176.501509022,14392504.680079864,,20.433333333333334,11.933333333333332
2025,Catamarca,0.026,,10958339.70677964,2900059.103470585,1756831.5571928471,,20.433333333333334,11.933333333333332
2025,Chaco,0.084,,35403866.74498038,9369421.718904966,5675917.338623045,,20.433333333333334,11.933333333333332
2025,Chubut,0.036,,15173085.747848732,4015466.450959271,2432536.002267019,,20.433333333333334,11.933333333333332
2025,Corrientes,0.018,,7586542.873924366,2007733.2254796354,1216268.0011335094,,20.433333333333334,11.933333333333332
2025,Córdoba,0.047,,19809306.393024735,5242414.533196826,3175810.8918486084,,20.433333333333334,11.933333333333332
2025,Entre Ríos,0.047,,19809306.393024735,5242414.533196826,3175810.8918486084,,20.433333333333334,11.933333333333332
2025,Formosa,0.034,,14330136.539634917,3792384.9814615343,2297395.113252185,,20.433333333333334,11.933333333333332
2025,Jujuy,0.028,,11801288.91499346,3123140.5729683223,1891972.4462076817,,20.433333333333334,11.933333333333332
2025,La Pampa,0.019,,8008017.478031276,2119273.960228504,1283838.4456409267,,20.433333333333334,11.933333333333332
2025,La Rioja,0.02,,8429492.082138186,2230814.694977373,1351408.890148344,,20.433333333333334,11.933333333333332
2025,Mendoza,0.041,,17280458.76838328,4573170.124703615,2770388.2248041052,,20.433333333333334,11.933333333333332
2025,Misiones,0.033,,13908661.935528006,3680844.2467126655,2229824.6687447676,,20.433333333333334,11.933333333333332
2025,Neuquén,0.018,,7586542.873924366,2007733.2254796354,1216268.0011335094,,20.433333333333334,11.933333333333332
2025,Río Negro,0.025,,10536865.102672733,2788518.368721716,1689261.11268543,,20.433333333333334,11.933333333333332
2025,Salta,0.038,,16016034.956062552,4238547.920457008,2567676.8912818534,,20.433333333333334,11.933333333333332
2025,San Juan,0.032,,13487187.331421098,3569303.511963797,2162254.2242373503,,20.433333333333334,11.933333333333332
2025,San Luis,0.022,,9272441.290352004,2453896.16447511,1486549.7791631783,,20.433333333333334,11.933333333333332
2025,Santa Cruz,0.017,,7165068.2698174585,1896192.4907307671,1148697.5566260924,,20.433333333333334,11.933333333333332
2025,Santa Fe,0.087,,36668290.557301104,9704043.923151571,5878628.672145296,,20.433333333333334,11.933333333333332
2025,Santiago del Estero,0.039,,16437509.560169462,4350088.6552058775,2635247.3357892707,,20.433333333333334,11.933333333333332
2025,Total (provincias),1.0,,421474604.1069093,111540734.74886864,67570444.5074172,,20.433333333333334,11.933333333333332
2025,Tucumán,0.046,,19387831.788917825,5130873.798447957,3108240.447341191,,20.433333333333334,11.933333333333332
